"id","date","focuslevel","description","time"
1,"2025-05-05","lowFocus","Break","00:10:00"
2,"2025-05-05","mediumFocus","Team Meeting","03:00:00"
3,"2025-05-05","highFocus","Wrote Code","02:00:00"
4,"2025-05-06","lowFocus","Break","00:10:00"
5,"2025-05-06","mediumFocus","Team Meeting","03:00:00"
6,"2025-05-06","highFocus","Wrote Code","02:00:00"
7,"2025-05-07","mediumFocus","Test Task","00:30:00"
8,"2025-05-07","lowFocus","new task","00:30:00"
9,"2025-05-07","lowFocus","new task","00:30:00"
10,"2025-05-07","highFocus","test again","02:00:00"
11,"2025-05-04","lowFocus","Morning Break","00:15:00"
12,"2025-05-04","mediumFocus","Email Triage","01:00:00"
13,"2025-05-04","highFocus","Feature Planning","02:30:00"
14,"2025-05-04","mediumFocus","Team Sync","01:30:00"
15,"2025-05-04","lowFocus","Coffee Break","00:10:00"
16,"2025-05-03","lowFocus","Stretch","00:10:00"
17,"2025-05-03","mediumFocus","Code Review","01:30:00"
18,"2025-05-03","highFocus","Implement Feature","03:00:00"
19,"2025-05-03","mediumFocus","Client Call","00:45:00"
20,"2025-05-03","lowFocus","Walk","00:15:00"
21,"2025-05-02","mediumFocus","Plan Sprint","01:00:00"
22,"2025-05-02","highFocus","Database Migration","02:00:00"
23,"2025-05-02","highFocus","Debugging","02:30:00"
24,"2025-05-02","lowFocus","Lunch Break","00:30:00"
25,"2025-05-02","mediumFocus","Write Documentation","01:00:00"
26,"2025-05-01","lowFocus","Setup Environment","00:20:00"
27,"2025-05-01","highFocus","Prototype UI","02:00:00"
28,"2025-05-01","mediumFocus","Write Tests","01:30:00"
29,"2025-05-01","lowFocus","Coffee Break","00:15:00"
30,"2025-05-01","highFocus","Deploy to Staging","01:45:00"
31,"2025-05-08","highFocus","Implement AI","02:00:00"
32,"2025-05-09","mediumFocus","Finalize Code","03:00:00"
33,"2025-05-09","mediumFocus","Going over Code again","03:00:00"
34,"2025-05-09","highFocus","Clean","00:30:00"
35,"2025-05-09","lowFocus","Drink Water","00:05:00"
36,"2025-05-09","lowFocus","Cook Dinner","01:00:00"
37,"2025-05-09","mediumFocus","Clean Dishes","00:10:00"
39,"2025-05-09","highFocus","Walk dog","01:00:00"
40,"2025-05-09","highFocus","Make Appointments","01:00:00"
42,"2025-05-09","lowFocus","Take a break","00:20:00"
